title,year,length,budget,rating,votes,mpaa,genre
"Sweetest Thing, The",2002,90,43,4.7,8284,R,RomCom
Tomcats,2001,95,11,4.7,3717,R,Comedy
"Velocity of Gary, The",1998,100,4,4.7,570,R,RomCom
"Wild Angels, The",1966,93,0.36,4.7,212,R,Action Drama
"Wild Thornberrys Movie, The",2002,85,35,4.7,4008,PG,Animated
Charlotte Sometimes,2002,85,0.08,4.6,555,R,Drama
Corky Romano,2001,86,11,4.6,2463,PG-13,Comedy
"Dude, Where's My Car?",2000,83,13,4.6,13330,PG-13,Comedy
"Eighteenth Angel, The",1998,95,25,4.6,557,R,Action
Frankenfish,2004,84,3,4.6,309,R,Action Comedy
Freeway II: Confessions of a Trickbaby,1999,90,2,4.6,666,R,Drama
Ghosts of Mars,2001,98,28,4.6,6368,R,Action
Held Up,1999,89,8,4.6,555,PG-13,Comedy
Hometown Legend,2002,108,2,4.6,186,PG,Drama
"Jimmy Show, The",2001,99,1,4.6,145,R,Comedy Drama
Judge Dredd,1995,96,90,4.6,9979,R,Action
Judgment,2001,105,11,4.6,106,PG-13,Drama
"Lot Like Love, A",2005,107,30,4.6,786,PG-13,RomCom
Maid in Manhattan,2002,105,55,4.6,12237,PG-13,RomCom
Men of War,1994,99,12,4.6,397,R,Action Drama
Mercy Streets,2000,106,0.6,4.6,149,PG-13,Action Drama
"Peacekeeper, The",1997,98,10,4.6,505,R,Action
"Point Men, The",2001,88,6.1,4.6,266,R,Action
Resurrection Man,1998,102,4,4.6,214,R,Drama
Say It Isn't So,2001,93,25,4.6,3144,R,RomCom
Serving Sara,2002,99,29,4.6,2990,PG-13,RomCom
Snow Day,2000,89,13,4.6,1645,PG,RomCom
Spawn,1997,98,40,4.6,7523,PG-13,Action
Starkweather,2004,92,1,4.6,89,R,Drama
Steal Big Steal Little,1995,135,35,4.6,263,PG-13,Comedy
Tank Girl,1995,104,25,4.6,4400,R,Action Comedy
Tart,2001,94,3.3,4.6,714,R,Drama
Belly,1998,96,10,4.5,1034,R,Drama
Blues Brothers 2000,1998,123,28,4.5,5267,PG-13,Comedy
Boat Trip,2002,97,20,4.5,2991,R,Comedy
Carpool,1996,89,17,4.5,829,PG,Comedy
Catch That Kid,2004,91,18,4.5,598,PG,Action Comedy
Christmas with the Kranks,2004,98,60,4.5,1520,PG,Comedy
Coronado,2003,88,4.7,4.5,411,PG-13,Action Comedy
Fire Over Afghanistan,2003,92,0.155,4.5,67,R,Action Drama
Jack Frost,1998,101,50,4.5,2130,PG,Comedy Drama
Legionnaire,1998,98,35,4.5,1773,R,Action
"Medallion, The",2003,88,41,4.5,2765,PG-13,Action Comedy
My Favorite Martian,1999,93,60,4.5,1942,PG,Comedy
Nutty Professor II: The Klumps,2000,109,84,4.5,5825,PG-13,Comedy
"Packing Suburbia, A",1999,90,0.04,4.5,38,R,Drama
Revelation,1999,98,5,4.5,203,PG-13,Action Drama
Shadow Conspiracy,1997,103,45,4.5,1078,R,Action
"Smile Like Yours, A",1997,98,18,4.5,348,R,RomCom
Space Truckers,1996,95,25,4.5,1460,PG-13,Comedy
Spy Hard,1996,81,18,4.5,4686,PG-13,Action Comedy
Summer Catch,2001,105,17,4.5,2581,PG-13,RomCom
Superstar,1999,81,14,4.5,2880,PG-13,Comedy
Swimfan,2002,85,8.5,4.5,3863,PG-13,Drama
Time Changer,2002,95,0.825,4.5,304,PG,Drama
"Touch, The",2002,103,20,4.5,417,PG-13,Action
Town & Country,2001,104,90,4.5,1434,R,Comedy
Bad Moon,1996,80,7,4.4,519,R,Action
Confessions of a Teenage Drama Queen,2004,89,15,4.4,2205,PG,Comedy
Congo,1995,109,50,4.4,8058,PG-13,Action
Driven,2001,116,72,4.4,7129,PG-13,Action Drama
Firestorm,1998,89,19,4.4,987,R,Action
Hanging Up,2000,94,40,4.4,3129,PG-13,Comedy Drama
Hidden Assassin,1995,89,11,4.4,245,R,Action Drama
Highlander: Endgame,2000,101,15,4.4,3773,R,Action
"Legally Blonde 2: Red, White & Blonde",2003,95,45,4.4,6293,PG-13,Comedy
"Musketeer, The",2001,104,40,4.4,3966,PG-13,Action Drama
No Code of Conduct,1998,95,12,4.4,314,R,Action Drama
Pep Squad,1998,94,0.5,4.4,120,R,Comedy
"Scarlet Letter, The",1995,135,50,4.4,2426,R,Romance Drama
"Thin Line Between Love and Hate, A",1996,108,8,4.4,458,R,RomCom
Thunderbirds,2004,95,57,4.4,1419,PG,Action Comedy
Vampire in Brooklyn,1995,100,14,4.4,2716,R,RomCom
Whipped,2000,82,3,4.4,1562,R,RomCom
"Adventures of Rocky & Bullwinkle, The",2000,88,76,4.3,4815,PG,Animated
Dead Babies,2000,100,1,4.3,172,R,Comedy
"Dead Hate the Living!, The",2000,90,0.15,4.3,496,R,Comedy
Envy,2004,99,40,4.3,3417,PG-13,Comedy
Freddy's Dead: The Final Nightmare,1991,93,5,4.3,3618,R,Comedy
Raise Your Voice,2004,103,15,4.3,1626,PG,Romance Drama
Rock 'n' Roll Frankenstein,1999,88,0.25,4.3,66,R,Comedy
Sons of Provo,2004,93,0.2,4.3,35,PG,Comedy
Yo puta,2004,76,6,4.3,151,R,Drama
Belly of the Beast,2003,91,18,4.2,638,R,Action
Big Bully,1996,90,15,4.2,781,PG,Comedy Drama
Breakfast of Champions,1999,110,12,4.2,2250,R,Comedy
Brooklyn Bound,2004,90,0.07,4.2,30,R,Drama
Claustrophobia,2003,79,0.114,4.2,90,R,Comedy
Decoys,2004,95,5,4.2,580,R,Comedy
Dr. Jekyll and Ms. Hyde,1995,90,8,4.2,573,PG-13,Comedy
"Era of Vampire, The",2002,90,1,4.2,329,R,Action
Fortress 2,1999,92,11,4.2,1027,R,Action
"Granny, The",1995,85,1,4.2,142,R,Comedy
Hairshirt,1998,89,0.065,4.2,242,R,RomCom
Hidden Agenda,2001,98,5,4.2,266,R,Action
Ice Cream Man,1995,84,2,4.2,349,R,Comedy
Kicked in the Head,1997,87,4,4.2,271,R,Comedy Drama
Perfect Target,1997,89,3.5,4.2,55,R,Action
Scary Movie 2,2001,83,45,4.2,12035,R,Comedy
Absolon,2003,96,8,4.1,548,R,Action
Black Knight,2001,95,50,4.1,3822,PG-13,Comedy
Boogeyman,2005,89,20,4.1,2055,PG-13,Drama
Civil Brand,2002,95,0.5,4.1,102,R,Drama
"Demolitionist, The",1995,100,1,4.1,238,R,Action
Detention,2003,98,10,4.1,223,R,Action Drama
Full Clip,2004,95,0.5,4.1,72,R,Action
My Boss's Daughter,2003,90,14,4.1,2765,R,RomCom
On the Line,2001,85,10,4.1,1013,PG,RomCom
Pootie Tang,2001,70,3,4.1,1921,PG-13,Action Comedy
Savage,1995,99,5,4.1,93,R,Action
Sleepover,2004,89,10,4.1,733,PG,Comedy
Breathing Room,1996,90,0.5,4,39,R,RomCom
Chopin. Pragnienie milosci,2002,134,3.5,4,55,R,Romance Drama
Dungeons & Dragons,2000,107,35,4,7435,PG-13,Action
Extreme Ops,2002,94,40,4,1337,PG-13,Action
Good Burger,1997,103,9,4,1714,PG,Comedy
"In Crowd, The",2000,104,15,4,1342,PG-13,Drama
Inspector Gadget,1999,78,75,4,5288,PG,Action Comedy
Into the Sun,2005,97,16,4,481,R,Action
"Lengua asesina, La",1996,98,4,4,244,R,Comedy
Route 666,2001,86,2.3,4,487,R,Action
Soul Assassin,2001,96,7,4,376,R,Action
Wild Wild West,1999,107,170,4,19078,PG-13,Action Comedy
"Adventures of Pluto Nash, The",2002,95,100,3.9,2543,PG-13,Action Comedy
Diary of a Mad Black Woman,2005,116,5.5,3.9,837,PG-13,Comedy Drama
Fair Game,1995,91,50,3.9,2579,R,Action Comedy
Half Past Dead,2002,98,30,3.9,2099,PG-13,Action
Honey,2003,94,17,3.9,3067,PG-13,Romance Drama
Juwanna Mann,2002,91,15.6,3.9,885,PG-13,Comedy
Kangaroo Jack,2003,89,60,3.9,3661,PG,Comedy
My Life's in Turnaround,1993,84,0.022,3.9,196,R,Comedy
Sweepers,1999,93,12.5,3.9,276,R,Action
xXx: State of the Union,2005,101,87,3.9,1584,PG-13,Action
Agent Cody Banks 2: Destination London,2004,100,26,3.8,919,PG,Action Comedy
Claudine's Return,1998,91,2,3.8,80,R,Romance Drama
"Crow: City of Angels, The",1996,84,13,3.8,3656,R,Action
Evil Alien Conquerors,2002,89,0.5,3.8,111,PG-13,Comedy
"Fantasma dell'opera, Il",1998,106,10,3.8,910,R,Romance Drama
Gone Fishin',1997,94,53,3.8,1884,PG,Comedy
Knock Off,1998,91,35,3.8,1947,R,Action
Man-Thing,2005,96,30,3.8,163,R,Action
"Pest, The",1997,84,17,3.8,1405,PG-13,Comedy
Skin Deep,2003,89,0.4,3.8,31,R,Action Comedy
Striptease,1996,117,50,3.8,7998,R,Comedy Drama
Swept Away,2002,89,10,3.8,2113,R,RomCom
"Untold, The",2002,92,3,3.8,400,R,Action
"Wild Ride, The",1960,88,0.03,3.8,56,PG-13,Drama
Beowulf,1999,99,20,3.7,2058,R,Action
Bridge of Dragons,1999,95,4,3.7,373,R,Action
"Flintstones in Viva Rock Vegas, The",2000,90,58,3.7,1712,PG,Comedy
Highlander III: The Sorcerer,1994,102,26,3.7,3388,PG-13,Action
McHale's Navy,1997,108,42,3.7,1758,PG,Comedy
Out of Reach,2004,88,20,3.7,399,R,Action Drama
Wing Commander,1999,96,30,3.7,4854,PG-13,Action
Batman & Robin,1997,125,110,3.6,28457,PG-13,Action
Dudley Do-Right,1999,77,22,3.6,1790,PG,Comedy
Johnson Family Vacation,2004,97,12,3.6,955,PG-13,Comedy
Tarzan and the Lost City,1998,83,20,3.6,510,PG,Action
Warriors of Virtue,1997,101,35,3.6,389,PG,Action
Are We There Yet?,2005,95,32,3.5,1043,PG,Comedy
Diplomatic Siege,1999,96,45,3.5,340,R,Action
Down Time,2001,90,0.02,3.5,55,R,Drama
Dusting Cliff 7,1996,95,1.3,3.5,80,R,Action Drama
Freddy Got Fingered,2001,87,15,3.5,9115,R,Comedy
Rancid Aluminium,2000,88,12,3.5,352,R,Drama
Woo,1998,84,13,3.5,407,R,RomCom
"Avengers, The",1998,89,60,3.4,11499,PG-13,Action
Ballistic: Ecks vs. Sever,2002,91,70,3.4,4556,R,Action
Catwoman,2004,104,85,3.4,8815,PG-13,Action
Derailed,2002,89,18,3.4,1075,R,Action
Digimon: The Movie,2000,82,5,3.4,455,PG,Animated
Highlander II: The Quickening,1991,92,30,3.4,9264,R,Action
Legion of the Dead,2001,92,2.7,3.4,374,R,Comedy
Meet the Deedles,1998,93,24,3.4,443,PG,Comedy
Dumb and Dumberer: When Harry Met Lloyd,2003,85,19,3.3,4689,PG-13,Comedy
Fascination,2004,95,5,3.3,124,R,Romance Drama
Speed 2: Cruise Control,1997,121,110,3.3,13268,PG-13,Action
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10,3.2,1262,R,Comedy
"Cat in the Hat, The",2003,82,109,3.2,4997,PG,Comedy
I Got the Hook Up,1998,93,3.5,3.2,412,R,Comedy
"Minion, The",1998,95,12,3.2,338,R,Action
Soul Plane,2004,92,16,3.2,2361,R,Comedy
Torque,2004,81,40,3.2,4050,PG-13,Action
Crossroads,2002,93,12,3.1,8546,PG-13,RomCom
"Foreigner, The",2003,96,20,3.1,904,R,Action
"Hillz, The",2004,91,0.1,3.1,80,R,Comedy Drama
Air Marshal,2003,90,0.5,3,81,R,Action
Day of Defense,2003,102,0.5,3,8,PG,Drama
Mortal Kombat: Annihilation,1997,91,30,3,5799,PG-13,Action
Out for a Kill,2003,88,20,3,818,R,Action
Spice World,1997,93,25,3,7710,PG,Comedy
Bug Buster,1998,93,8.5,2.9,268,PG-13,Action Comedy
"Last Patrol, The",2000,95,8.2,2.9,236,PG-13,Action Drama
"Master of Disguise, The",2002,80,16,2.9,3903,PG,Comedy
Frostbite,2005,83,2.4,2.8,201,R,Comedy
Killers,1997,86,0.1,2.8,127,R,Action
Marci X,2003,80,20,2.8,741,R,Comedy
November,2004,73,0.3,2.8,164,R,Drama
Rollerball,2002,97,70,2.8,5328,R,Action
Luminarias,2000,100,1,2.7,381,R,RomCom
One Hell of a Christmas,2002,94,0.4,2.7,70,R,Comedy
"Room, The",2003,99,6,2.7,81,R,RomCom
Chairman of the Board,1998,95,10,2.6,666,PG-13,Comedy
Steel,1997,97,16,2.6,1607,PG-13,Action
2001: A Space Travesty,2000,99,26,2.5,2023,R,Comedy
Baby Geniuses,1999,97,13,2.4,3142,PG,Comedy
Battlefield Earth: A Saga of the Year 3000,2000,119,73,2.4,14970,PG-13,Action
Rachel's Attic,2002,112,0.083,2.4,58,R,Action Drama
"Vault, The",2005,87,0.1,2.4,64,PG-13,Action
Gigli,2003,121,54,2.3,11285,R,RomCom
"Helix... Loaded, The",2005,97,1,2.3,33,R,Action Comedy
House of the Dead,2003,90,7,2.3,3921,R,Action
Theodore Rex,1995,92,33,2.2,567,PG,Comedy
Alone in the Dark,2005,96,20,2.1,2880,R,Action
Glitter,2001,104,22,2.1,5209,PG-13,Romance Drama
Son of the Mask,2005,94,74,1.9,1785,PG,Action Comedy
You Got Served,2004,95,8,1.9,6041,PG-13,Drama
From Justin to Kelly,2003,90,12,1.7,6517,PG,RomCom
